game_id,board_nr,player1,player2,starting_player,winner,repetition,n_moves,player1_avg_n_nodes,player2_avg_n_nodes,player1_avg_n_iter,player2_avg_n_iter,sudden_win_found,avg_depth,max_depth,min_depth,avg_n_entries_tptable
271,1,MCTS-AB,MCTS-PNS,2,2,10,61,13318.806451612903,13754.333333333334,128140.6129032258,62224.73333333333,False,0,0,0,
272,1,MCTS-AB,MCTS-PNS,1,2,11,19,17748.333333333332,13462.6,19465.333333333332,23921.9,False,0,0,0,
273,1,MCTS-AB,MCTS-PNS,2,2,11,16,12527.875,13821.25,15463.75,26060.25,False,0,0,0,
274,1,MCTS-AB,MCTS-PNS,1,1,12,59,14258.185185185184,12628.6,26960.814814814814,74669.5,True,0,0,0,
275,1,MCTS-AB,MCTS-PNS,2,2,12,61,17384.8064516129,18595.333333333332,131492.5806451613,72190.26666666666,False,0,0,0,
276,1,MCTS-AB,MCTS-PNS,1,0.5,13,61,11358.766666666666,12891.645161290322,74480.33333333333,94158.74193548386,False,0,0,0,
277,1,MCTS-AB,MCTS-PNS,2,2,13,59,11301.533333333333,11992.137931034482,79575.0,41854.24137931035,False,0,0,0,
278,1,MCTS-AB,MCTS-PNS,1,1,14,14,13344.6,18597.571428571428,13807.2,19890.571428571428,True,0,0,0,
279,1,MCTS-AB,MCTS-PNS,2,2,14,10,13129.0,12541.2,14547.4,29540.8,False,0,0,0,
280,1,MCTS-AB,MCTS-PNS,1,2,15,60,12846.0,12678.333333333334,115377.3,57338.066666666666,False,0,0,0,
281,1,MCTS-AB,MCTS-PNS,2,2,15,57,12869.793103448275,12692.25,72504.20689655172,40257.28571428572,False,0,0,0,
282,1,MCTS-AB,MCTS-PNS,1,1,16,61,12874.964285714286,11807.709677419354,36983.42857142857,109126.6129032258,True,0,0,0,
283,1,MCTS-AB,MCTS-PNS,2,1,16,13,13881.6,17341.0,13968.2,18451.0,True,0,0,0,
284,1,MCTS-AB,MCTS-PNS,1,2,17,60,12886.933333333332,12124.9,114518.63333333333,56077.833333333336,False,0,0,0,
285,1,MCTS-AB,MCTS-PNS,2,1,17,60,12183.07142857143,11697.5,25524.714285714286,82427.4,True,0,0,0,
286,1,MCTS-AB,MCTS-PNS,1,1,18,34,13046.666666666666,12764.0,14210.133333333333,18411.117647058825,True,0,0,0,
287,1,MCTS-AB,MCTS-PNS,2,2,18,55,11092.0,12047.62962962963,60567.96428571428,33611.77777777778,False,0,0,0,
